iteration,act_repeat,fit_epochs,rollout_score,iter_samples,num_samples,rollout_metric,data_collect_time,dyn_loss_0,dyn_loss_gen_0,dyn_loss_1,dyn_loss_gen_1,dyn_loss_2,dyn_loss_gen_2,dyn_loss_3,dyn_loss_gen_3,model_update_time,policy_update_time,eval_score,eval_metric,eval_log_time,iter_time
0,1,20,-300.4276998347483,2500,2500,,0.3102090358734131,0.10942779814726428,0.025995372,0.10730216593334549,0.028727042,0.10827745438406342,0.027363904,0.10592984231679063,0.028013617,2.117671251296997,7.644022464752197,-178.31332687418654,,0.06053352355957031,10.132436275482178
1,,20,-190.83703111413826,500,500,,0.06344842910766602,0.06645813410480818,0.0022130944,0.06600222927000787,0.0022078466,0.06836615527669589,0.0023011863,0.06797741626699766,0.0021859258,2.3311946392059326,20.4948890209198,-127.0843584257673,,0.07381463050842285,22.96334671974182
2,,20,-165.574211708483,500,500,,0.06344866752624512,0.05588795054914816,0.0025447868,0.05561652793636862,0.0026171454,0.05644120514955161,0.0023831583,0.05460246188460656,0.002461145,2.87744402885437,22.093760013580322,-115.86824294289681,,0.07233142852783203,25.10698413848877
3,,20,-118.34786677592724,500,500,,0.06270575523376465,0.044795610804538255,0.0018364948,0.0435479572806202,0.0018557911,0.04625190263156031,0.0016787226,0.0451773896691252,0.0017859875,3.2103052139282227,20.220611095428467,-107.77518565097986,,0.07198810577392578,23.56561017036438
4,,20,-106.0551428512418,500,500,,0.0636587142944336,0.03998273950727547,0.0017823168,0.038606221595888626,0.0017356802,0.040992836413138056,0.0016984431,0.040191190700758904,0.0015981884,3.6393847465515137,19.954415559768677,-99.89109844531325,,0.07362914085388184,23.731088161468506
5,,20,-97.55141451852988,500,500,,0.0636296272277832,0.0340566945899474,0.0012438282,0.033121413992423764,0.0012124241,0.03541234397868577,0.0011940494,0.03527228475401276,0.001121471,3.9599030017852783,20.586145639419556,-83.9890522991918,,0.07155585289001465,24.681234121322632
6,,20,-92.20406770600027,500,500,,0.06321239471435547,0.02983761995676018,0.0011049329,0.02858473320624658,0.0011182997,0.030633363651023024,0.00104081,0.030384927721960203,0.0010214892,4.651733636856079,22.094716548919678,-84.37628094836211,,0.07210516929626465,26.881767749786377
7,,20,-92.75386886876197,500,500,,0.06259441375732422,0.02670819691003679,0.0011039563,0.026591269688291865,0.0010707991,0.02762564967621814,0.0009996572,0.028501556183283146,0.0011219096,4.877082586288452,21.514368534088135,-76.42787560134695,,0.07196354866027832,26.52600908279419
8,,20,-81.48939539272325,500,500,,0.0632774829864502,0.025248785832464093,0.0011606493,0.02445091504716512,0.0011778612,0.025185365907170555,0.0009913037,0.025405143754500332,0.0011812219,5.134069919586182,23.802956581115723,-71.17806235558233,,0.07131147384643555,29.07161545753479
9,,20,-75.63742342162985,500,500,,0.06489992141723633,0.02356441851670497,0.0010429512,0.023421822794686967,0.0009784955,0.02447600276252934,0.00087708177,0.023082365516886534,0.00093402225,5.949054956436157,24.485397815704346,-68.29078601718312,,0.06909465789794922,30.56844735145569
10,,20,-72.51426802627131,500,500,,0.06362724304199219,0.022276001868017932,0.00093555986,0.021183487803985674,0.00087170675,0.02225757060213047,0.00080743764,0.021387051741935705,0.0008545745,6.2759315967559814,24.574475049972534,-73.95793383517788,,0.07632327079772949,30.990357160568237
11,,20,-71.69202585499639,500,500,,0.07166171073913574,0.021434473331834448,0.000929385,0.021225070702980776,0.0009532274,0.02087190023577604,0.0009565268,0.021754721546026527,0.00091544044,6.647839069366455,21.558526754379272,-68.9585443143054,,0.07544755935668945,28.353475093841553
12,,20,-74.36438936380202,500,500,,0.06642031669616699,0.020000318552439028,0.0008350565,0.020018140943004536,0.00070222066,0.020760926131445628,0.00077620527,0.020401914675648395,0.00070011616,7.393504858016968,20.82218885421753,-69.14794298487945,,0.07282590866088867,28.354939937591553
13,,20,-67.6598432791771,500,500,,0.06656432151794434,0.020915665765748406,0.00077961653,0.020138419219666588,0.00072252366,0.020801906263197424,0.00082093163,0.018743961451262454,0.00083524495,7.441987991333008,21.730880975723267,-58.777456764906354,,0.07361578941345215,29.31304907798767
14,,20,-69.72176864348704,500,500,,0.06727838516235352,0.020915267577972907,0.0008432146,0.019383474933946956,0.000842526,0.019296629418586862,0.00094108353,0.018802329448276554,0.00073980674,8.27984881401062,23.652215480804443,-60.644915570234204,,0.07465410232543945,32.073996782302856
15,,20,-59.291173040163606,500,500,,0.06758379936218262,0.01917138274491223,0.00055535143,0.019230794076339094,0.00045560155,0.019810081940460827,0.00053330744,0.019085338430515693,0.00044866127,8.396323919296265,25.063546419143677,-63.515368842458415,,0.07452034950256348,33.60197448730469
16,,20,-68.49820843722287,500,500,,0.06668376922607422,0.01913126839790493,0.00059902866,0.01775162050034851,0.00051723816,0.01783632453298196,0.0005292107,0.01814177056076005,0.00054574054,8.905690431594849,22.539499282836914,-65.16610395290647,,0.07321810722351074,31.585091590881348
17,,20,-71.25536261535034,500,500,,0.06873011589050293,0.018774292010459163,0.00055333006,0.017694088331024562,0.0005064216,0.01908565163501494,0.0006040104,0.018025133525952697,0.00045032243,9.320677518844604,23.07244086265564,-57.92552981986561,,0.07539796829223633,32.53724646568298
18,,20,-65.64914771085417,500,500,,0.0675194263458252,0.01794463964919983,0.0006510809,0.016811876790598035,0.00045638857,0.01857686111047356,0.0005590183,0.01658614290433682,0.00046422787,9.905002117156982,24.956857204437256,-68.79935201955794,,0.07527923583984375,35.00465798377991
19,,20,-61.975195289683654,500,500,,0.06681370735168457,0.017820602455914346,0.00042163773,0.01707756019558737,0.00035799283,0.016695036664808708,0.0004334312,0.016668691304944902,0.00033852906,10.153025388717651,20.20160484313965,-66.21321162058179,,0.07270669937133789,30.494150638580322
20,,20,-60.90810583258085,500,500,,0.06676864624023438,0.01708407104697995,0.0004617527,0.015598493047955773,0.0004524909,0.015955530199665984,0.0004208292,0.015179656836062826,0.000360657,10.521591663360596,24.917912244796753,-65.3845953897528,,0.07403564453125,35.58030819892883
21,,20,-62.65910270599285,500,500,,0.0711827278137207,0.016283857678273814,0.000404141,0.015184781181827263,0.00030753986,0.015920823346355452,0.0003834983,0.0156272895512494,0.0004029078,10.982527256011963,23.521770477294922,-67.32244966589727,,0.07701969146728516,34.65250015258789
22,,20,-67.41694285803146,500,500,,0.06766247749328613,0.016407609180303165,0.00038960937,0.015174317960310909,0.0003126257,0.015441191405311082,0.00037737197,0.015123907399806872,0.0003280954,11.953798294067383,26.1284282207489,-64.59157660546386,,0.07358026504516602,38.223469257354736
23,,20,-69.08896337989673,500,500,,0.06562328338623047,0.01660169086584421,0.00040906304,0.01576325063654613,0.00033182648,0.015548551925153377,0.00036727008,0.014904730326591809,0.0003556871,11.591496706008911,22.92581796646118,-63.824104870320696,,0.07181334495544434,34.65475130081177
24,,20,-56.930490009296044,500,500,,0.06820011138916016,0.015584353609262285,0.000294507,0.017248255028683053,0.00023495463,0.014213007304246898,0.00022247982,0.014066901800499574,0.00020735346,12.332645654678345,21.574159383773804,-58.16883578317625,,0.07411956787109375,34.0491247177124
